,prompt,imgURL,colors
14,a photo of a polar bear in the zoo,https://s3.amazonaws.com/moonup/production/uploads/1663708947811-6064e095abd8d3692e3e2ed6.jpeg,"['#0512dc', '#ceebf5', '#0c2726', '#55acb6', '#8c61fc']"
15,a painting of a Ferrari by Claude Monet,https://s3.amazonaws.com/moonup/production/uploads/1663708947819-6064e095abd8d3692e3e2ed6.jpeg,"['#2f3c6e', '#deacdf', '#e2e23b', '#b923bf', '#ed68f7']"
16,a painting of a Ferrari by Claude Monet,https://s3.amazonaws.com/moonup/production/uploads/1663708947820-6064e095abd8d3692e3e2ed6.jpeg,"['#f9b9a0', '#b30814', '#36102d', '#e240ab', '#680c26']"
17,a painting of a Ferrari by Claude Monet,https://s3.amazonaws.com/moonup/production/uploads/1663709705120-6064e095abd8d3692e3e2ed6.jpeg,"['#13bbab', '#f7e2ba', '#cb3b37', '#062726', '#055637']"
18,a photo of a rainbow in the Arctic ,https://s3.amazonaws.com/moonup/production/uploads/1663742353629-noauth.jpeg,"['#d2c6d0', '#2c283c', '#85819f', '#bbc4d6', '#af9326']"
19,a photo of a rainbow in the Arctic ,https://s3.amazonaws.com/moonup/production/uploads/1663742354391-noauth.jpeg,"['#5a3b5d', '#8782a7', '#266596', '#dc9d68', '#efc7c9']"
20,a photo of a rainbow in the Arctic ,https://s3.amazonaws.com/moonup/production/uploads/1663742355057-noauth.jpeg,"['#7b9fcc', '#abdacf', '#2d231b', '#d79776', '#836065']"
21,a photo of a monster emoji walking in times square,https://s3.amazonaws.com/moonup/production/uploads/1663742658480-noauth.jpeg,"['#876974', '#435bc0', '#2b2d3d', '#40c8ea', '#e3bebd']"
22,a photo of a monster emoji walking in times square,https://s3.amazonaws.com/moonup/production/uploads/1663742659238-noauth.jpeg,"['#3a3d4a', '#6581c2', '#8dc4d0', '#e4a788', '#93797b']"
23,a photo of a monster emoji walking in times square,https://s3.amazonaws.com/moonup/production/uploads/1663742659968-noauth.jpeg,"['#454151', '#1d4aef', '#9ecbdb', '#ecc88d', '#968283']"
24,a painting of aurora borealis over Iceland by vincent van gogh,https://s3.amazonaws.com/moonup/production/uploads/1663744858484-noauth.jpeg,"['#8a89c1', '#5c6073', '#9fbe49', '#cbc839', '#443726']"
25,a painting of aurora borealis over Iceland by vincent van gogh,https://s3.amazonaws.com/moonup/production/uploads/1663744859109-noauth.jpeg,"['#2c2757', '#59678b', '#a2cb56', '#aea037', '#524416']"
26,a painting of aurora borealis over Iceland by vincent van gogh,https://s3.amazonaws.com/moonup/production/uploads/1663744859612-noauth.jpeg,"['#13121c', '#7a95c2', '#3a5471', '#88be6e', '#c2e17c']"
27,Marge Simpson falls off her bike,https://s3.amazonaws.com/moonup/production/uploads/1663748789072-noauth.jpeg,"['#040404', '#b7b7b7', '#565656', '#747474', '#6c6c6c']"
28,Marge Simpson falls off her bike,https://s3.amazonaws.com/moonup/production/uploads/1663748790159-noauth.jpeg,"['#0f2540', '#0f89e2', '#60ddf7', '#e0c66d', '#6f6a5d']"
29,Marge Simpson falls off her bike,https://s3.amazonaws.com/moonup/production/uploads/1663748792226-noauth.jpeg,"['#17658d', '#929898', '#807c34', '#decbb6', '#623237']"
30,"Painting of small cute chibi soldier girl, anime illustration, cinematic lighting, cinematic, 4k, anime landscape",https://s3.amazonaws.com/moonup/production/uploads/1663757954841-noauth.jpeg,"['#8c96b3', '#39404a', '#9db18a', '#858263', '#d6c986']"
31,"Painting of small cute chibi soldier girl, anime illustration, cinematic lighting, cinematic, 4k, anime landscape",https://s3.amazonaws.com/moonup/production/uploads/1663757956502-noauth.jpeg,"['#040404', '#b7b7b7', '#565656', '#747474', '#6c6c6c']"
32,"Painting of small cute chibi soldier girl, anime illustration, cinematic lighting, cinematic, 4k, anime landscape",https://s3.amazonaws.com/moonup/production/uploads/1663757957263-noauth.jpeg,"['#8caba7', '#a1b9a9', '#9c977b', '#464235', '#d3c6b7']"
33,"Thanos in vibranium armor, infinite detail, improved quality, upgrade",https://s3.amazonaws.com/moonup/production/uploads/1663758959647-noauth.jpeg,"['#3f3342', '#847bb9', '#a8aab7', '#d8b0a7', '#a37776']"
34,"Thanos in vibranium armor, infinite detail, improved quality, upgrade",https://s3.amazonaws.com/moonup/production/uploads/1663758961236-noauth.jpeg,"['#d6a4bd', '#90588f', '#3a274e', '#8a7cba', '#8bb0c0']"
35,"Thanos in vibranium armor, infinite detail, improved quality, upgrade",https://s3.amazonaws.com/moonup/production/uploads/1663758962548-noauth.jpeg,"['#752c95', '#817984', '#1f0b2d', '#cdcdcb', '#756858']"
36,love in tokyo,https://s3.amazonaws.com/moonup/production/uploads/1663779109749-noauth.jpeg,"['#d6d2d4', '#728a98', '#0a0f11', '#ac7848', '#b2271d']"
37,love in tokyo,https://s3.amazonaws.com/moonup/production/uploads/1663779111389-noauth.jpeg,"['#7f566e', '#192844', '#7085ae', '#8db4c6', '#e0c8ce']"
38,love in tokyo,https://s3.amazonaws.com/moonup/production/uploads/1663779113216-noauth.jpeg,"['#8897a4', '#a5b9b6', '#1f2a27', '#857f7a', '#ecd1cb']"
39,tokyo neon city center,https://s3.amazonaws.com/moonup/production/uploads/1663779525324-noauth.jpeg,"['#211a2f', '#4775c5', '#60b5de', '#e28984', '#853653']"
40,tokyo neon city center,https://s3.amazonaws.com/moonup/production/uploads/1663779525644-noauth.jpeg,"['#e289a6', '#763a5e', '#1b1d29', '#516ea7', '#4bc5be']"
41,tokyo neon city center,https://s3.amazonaws.com/moonup/production/uploads/1663779525953-noauth.jpeg,"['#1f171d', '#4a62d8', '#3c4377', '#74c5cf', '#dfc1b6']"
42,A mecha robot in a favela,https://s3.amazonaws.com/moonup/production/uploads/1663779663409-noauth.jpeg,"['#b8b9bc', '#8299b1', '#a6b3ba', '#8f8477', '#464342']"
43,A mecha robot in a favela,https://s3.amazonaws.com/moonup/production/uploads/1663779664858-noauth.jpeg,"['#7f777a', '#c5c3cb', '#343437', '#7b92ac', '#91bbd8']"
44,A mecha robot in a favela,https://s3.amazonaws.com/moonup/production/uploads/1663779667286-noauth.jpeg,"['#818eaa', '#33383b', '#9aabaf', '#82817b', '#c2b9b3']"
45,a panting of a ferrari by Gustave Doré,https://s3.amazonaws.com/moonup/production/uploads/1663780805506-noauth.jpeg,"['#8e8fa1', '#acadaf', '#d9c9be', '#956567', '#34282a']"
46,a psychedelic butterfly art,https://s3.amazonaws.com/moonup/production/uploads/1663781017004-noauth.jpeg,"['#1c1933', '#f2f4f3', '#48b14a', '#aabb33', '#aa2554']"
47,Man wearing a crate as a costume at a prom,https://s3.amazonaws.com/moonup/production/uploads/1663787053384-noauth.jpeg,"['#1f37a2', '#302c20', '#b0a08c', '#d8a58c', '#9d4f37']"
48,a close up photo of a beautiful colorful eye,https://s3.amazonaws.com/moonup/production/uploads/1663787142706-noauth.jpeg,"['#1a0e29', '#23afea', '#f2a20a', '#a61f25', '#edc5c9']"
49,a photo of fireworks night in rio de janeiro,https://s3.amazonaws.com/moonup/production/uploads/1663787350356-noauth.jpeg,"['#5c3d52', '#c5adc3', '#606595', '#283961', '#b4673f']"
50,Reveillon at copacabana. Rio de Janeiro.,https://s3.amazonaws.com/moonup/production/uploads/1663787516453-noauth.jpeg,"['#6e7aac', '#7eb2a9', '#dea586', '#964c41', '#42292d']"
51,Painting of a futuristic magnetic tow truck in space,https://s3.amazonaws.com/moonup/production/uploads/1663787721690-noauth.jpeg,"['#3282b4', '#182a33', '#77b7d3', '#5d7e85', '#c8c78c']"
52,Paraplegic Batman at work,https://s3.amazonaws.com/moonup/production/uploads/1663787951029-noauth.jpeg,"['#090809', '#f7d226', '#eee6d2', '#a67b41', '#593218']"
53,sketch of a Minion on trial,https://s3.amazonaws.com/moonup/production/uploads/1663788234679-noauth.jpeg,"['#d7d7d7', '#676465', '#acabb4', '#080809', '#b2b6b6']"
54,sketch of Gru with muscles,https://s3.amazonaws.com/moonup/production/uploads/1663788345268-noauth.jpeg,"['#2b292a', '#656365', '#b9b8b9', '#565452', '#504945']"
55,sketch of the Headless Horseman in Subway,https://s3.amazonaws.com/moonup/production/uploads/1663788556763-noauth.jpeg,"['#454244', '#585859', '#494c44', '#929190', '#141313']"
56,Line art of the ghost of Abe Lincoln during pizza conference,https://s3.amazonaws.com/moonup/production/uploads/1663788866546-noauth.jpeg,"['#090909', '#585759', '#767677', '#5e645b', '#c4c4c3']"
57,Lego Abe Lincoln lineart,https://s3.amazonaws.com/moonup/production/uploads/1663789203781-noauth.jpeg,"['#555256', '#6a6c6e', '#c8c9c9', '#565c53', '#0e0d0d']"
58,Miniom,https://s3.amazonaws.com/moonup/production/uploads/1663790066062-noauth.jpeg,"['#8485b5', '#57d990', '#212f23', '#d8cba2', '#8d8276']"
59,Zombie Trump,https://s3.amazonaws.com/moonup/production/uploads/1663791116988-noauth.jpeg,"['#161627', '#1d54a2', '#69bb5b', '#e9ea95', '#f30b1e']"
60,An image of a cool unicorn,https://s3.amazonaws.com/moonup/production/uploads/1663792291091-noauth.jpeg,"['#5e2669', '#34cce3', '#51d049', '#dcbb86', '#cc295a']"
61,80s pastel care Bears aesthetic,https://s3.amazonaws.com/moonup/production/uploads/1663793211338-noauth.jpeg,"['#da27b0', '#dd86c4', '#198789', '#9ef9d7', '#f3dd46']"
62,A photo of a llama,https://s3.amazonaws.com/moonup/production/uploads/1663793436284-noauth.jpeg,"['#dfdfd9', '#261e0e', '#7c643f', '#cfa274', '#aeacac']"
63,man,https://s3.amazonaws.com/moonup/production/uploads/1663793500748-noauth.jpeg,"['#515051', '#979798', '#ababac', '#cecfcf', '#b3b4b4']"
64,Joe Biden eating crayons,https://s3.amazonaws.com/moonup/production/uploads/1663793505936-noauth.jpeg,"['#444145', '#344db8', '#a0b6d0', '#956359', '#e6b3af']"
65,Tina Turner buys herself,https://s3.amazonaws.com/moonup/production/uploads/1663793605904-noauth.jpeg,"['#b5b0a7', '#b4692d', '#140d07', '#602206', '#ead8d5']"
66,a photo of aquarium from fish perspective,https://s3.amazonaws.com/moonup/production/uploads/1663793619583-noauth.jpeg,"['#0d6fb9', '#1a211a', '#497c4a', '#53c759', '#cdae71']"
67,Ringo Starr cooks in a house fire...happily,https://s3.amazonaws.com/moonup/production/uploads/1663793712046-noauth.jpeg,"['#adaaad', '#9d94a0', '#eba76a', '#966455', '#4c302d']"
68,A web 2.0 homepage,https://s3.amazonaws.com/moonup/production/uploads/1663793849268-noauth.jpeg,"['#cbc9ca', '#28353e', '#6090ad', '#6c7c86', '#85adc3']"
69,Jesus is aware of Stable Diffusion,https://s3.amazonaws.com/moonup/production/uploads/1663793855823-noauth.jpeg,"['#4a303c', '#ac94a4', '#a8a098', '#d3c1b6', '#966f6b']"
70,Rainbow,https://s3.amazonaws.com/moonup/production/uploads/1663793951341-noauth.jpeg,"['#4947ea', '#25427a', '#11c376', '#ee8020', '#6b2834']"
71,Ringo Starr cooks in a house fire...happily,https://s3.amazonaws.com/moonup/production/uploads/1663794002336-noauth.jpeg,"['#716f74', '#2a2938', '#99682c', '#ccbab2', '#683b32']"
72,Elton John promotes Coke,https://s3.amazonaws.com/moonup/production/uploads/1663794006450-noauth.jpeg,"['#c2c2c2', '#0b0b0b', '#4e4b4c', '#696768', '#585c53']"
73,Scooby Doo,https://s3.amazonaws.com/moonup/production/uploads/1663794067619-noauth.jpeg,"['#7763de', '#131b1d', '#536f1c', '#dfd3a6', '#b56a61']"
74,Hello to people using this AI,https://s3.amazonaws.com/moonup/production/uploads/1663794097040-noauth.jpeg,"['#a7bdb3', '#1d6330', '#70935b', '#db997a', '#62292d']"
75,A web3 homepage,https://s3.amazonaws.com/moonup/production/uploads/1663794124707-noauth.jpeg,"['#828287', '#d1d1d2', '#878da3', '#a7aab0', '#2d2e2b']"
76,Ukrainian Prism,https://s3.amazonaws.com/moonup/production/uploads/1663794137312-noauth.jpeg,"['#1224ab', '#535373', '#a9c0b3', '#6a8364', '#bdc53c']"
77,windows 95,https://s3.amazonaws.com/moonup/production/uploads/1663794185766-noauth.jpeg,"['#cca0af', '#1a1317', '#6d5681', '#8d84cc', '#9bc19d']"
78,Caddicarus raging,https://s3.amazonaws.com/moonup/production/uploads/1663794378642-noauth.jpeg,"['#a0aab5', '#384241', '#c9d2d1', '#8fc5bd', '#9e7b78']"
79,Fishfaced man,https://s3.amazonaws.com/moonup/production/uploads/1663794386917-noauth.jpeg,"['#242e53', '#5b73a3', '#a8bfd1', '#cbae79', '#4b3c21']"
80,"A letterpress poster for a country music show at the Ryman Auditorium in the 1950s, rainbow-roll",https://s3.amazonaws.com/moonup/production/uploads/1663794410570-noauth.jpeg,"['#7470d4', '#616291', '#aab68c', '#e4b78a', '#2b0b0b']"
81,cyberpunk,https://s3.amazonaws.com/moonup/production/uploads/1663794722888-noauth.jpeg,"['#152e3b', '#3792b1', '#337e8f', '#56c9bf', '#c3dbc7']"
82,Rambling Ghost,https://s3.amazonaws.com/moonup/production/uploads/1663794996232-noauth.jpeg,"['#97b0c9', '#c1ccce', '#8b9191', '#b4b5af', '#e5e2d0']"
83,stanford university,https://s3.amazonaws.com/moonup/production/uploads/1663795176427-noauth.jpeg,"['#6589b4', '#7ec2a5', '#424529', '#954d49', '#da7e8b']"
84,"creative painting by max ernst,hieronymus bosch of an psychedelic goblin in a graveyard at midnight by gustave dore. magical occult night. highly detailed painting by norman rockwell, frank frazetta, and syd mead. rich colors, high contrast, gloomy atmosphere. trending on artstation and  painting by max ernst,hieronymus bosch of anne hathaway, thierry doizon, victo ngai, greg rutkowski, tentacles, white and gold color scheme, vibrant xenomorph alien creature, flying gold and dark theme",https://s3.amazonaws.com/moonup/production/uploads/1663795226163-noauth.jpeg,"['#7494ae', '#acb287', '#d0b568', '#9b8557', '#484136']"
85,stanford university in the simpsons,https://s3.amazonaws.com/moonup/production/uploads/1663795322462-noauth.jpeg,"['#5d97bf', '#7ecca9', '#2d412c', '#de9e57', '#a66374']"
86,Demon Horse,https://s3.amazonaws.com/moonup/production/uploads/1663795388707-noauth.jpeg,"['#cabbca', '#a6a1b9', '#abb4ba', '#6e6964', '#1c1112']"
87,bacci labs,https://s3.amazonaws.com/moonup/production/uploads/1663795553433-noauth.jpeg,"['#a79fab', '#b7b0a3', '#ddd6cf', '#4e433a', '#a27b73']"
88,Gotham City in Crash Bandicoot,https://s3.amazonaws.com/moonup/production/uploads/1663795628778-noauth.jpeg,"['#556adc', '#334a5c', '#70d2c9', '#589e88', '#cfbe92']"
89,montana,https://s3.amazonaws.com/moonup/production/uploads/1663795700767-noauth.jpeg,"['#d0d5df', '#799ed0', '#31465a', '#d5a146', '#7b6f5f']"
90,Gotham City in GTA 3,https://s3.amazonaws.com/moonup/production/uploads/1663795778513-noauth.jpeg,"['#8397b0', '#93d3f8', '#bcaf94', '#897b67', '#46403a']"
91,A demon dog smelling a donut,https://s3.amazonaws.com/moonup/production/uploads/1663795906157-noauth.jpeg,"['#c9c8d2', '#6c728d', '#9c7329', '#6a2917', '#1d1412']"
92,Jesus is bored as hell,https://s3.amazonaws.com/moonup/production/uploads/1663796104061-noauth.jpeg,"['#828790', '#949a9b', '#d1ad7e', '#836847', '#251c18']"
93,Barack Obama in Fallout 3,https://s3.amazonaws.com/moonup/production/uploads/1663796292238-noauth.jpeg,"['#7794ac', '#8faeb6', '#2e3838', '#768480', '#d0c8b7']"
94,Barack Obama in roblox,https://s3.amazonaws.com/moonup/production/uploads/1663796389841-noauth.jpeg,"['#72b1f4', '#316391', '#3dc526', '#d7cdab', '#451914']"
95,Satan reading newspaper on toilet,https://s3.amazonaws.com/moonup/production/uploads/1663796409786-noauth.jpeg,"['#27141b', '#e3e5e6', '#7a4d4b', '#a59495', '#6a3841']"
96,Barack Obama in LEGO game,https://s3.amazonaws.com/moonup/production/uploads/1663796591367-noauth.jpeg,"['#749dd6', '#8896a4', '#39a136', '#39150f', '#cfbdbc']"
97,Gotham City in outlast,https://s3.amazonaws.com/moonup/production/uploads/1663796675840-noauth.jpeg,"['#acacac', '#abb487', '#dadeb6', '#62624d', '#13110f']"
98,Rainforest costa rica ,https://s3.amazonaws.com/moonup/production/uploads/1663796701796-noauth.jpeg,"['#7388b0', '#b9d2c3', '#81b683', '#2d3c29', '#787c2b']"
99,japanese bedroom,https://s3.amazonaws.com/moonup/production/uploads/1663796703392-noauth.jpeg,"['#1d1116', '#6795b1', '#c9c4b2', '#aa6e31', '#693117']"
100,fisherman's friend,https://s3.amazonaws.com/moonup/production/uploads/1663796719107-noauth.jpeg,"['#32323b', '#398fc5', '#67bce4', '#5d808a', '#d7a97e']"
101,real estate in french countryside ,https://s3.amazonaws.com/moonup/production/uploads/1663796758179-noauth.jpeg,"['#688fbd', '#aabe78', '#272615', '#7a6e35', '#ceb88f']"
102,There goes my hero...he's odd and hairy!,https://s3.amazonaws.com/moonup/production/uploads/1663796811724-noauth.jpeg,"['#bdaeb7', '#669ee4', '#876050', '#201513', '#643935']"
103,real estate in german countryside ,https://s3.amazonaws.com/moonup/production/uploads/1663796832904-noauth.jpeg,"['#7f9cc5', '#a7bdcc', '#354320', '#926949', '#ddd5d5']"
104,Girl with Fire manipulation in LEGO game,https://s3.amazonaws.com/moonup/production/uploads/1663796841803-noauth.jpeg,"['#3d363c', '#1e7ec9', '#71b9e8', '#ec8925', '#8b321f']"
105,the 1970s,https://s3.amazonaws.com/moonup/production/uploads/1663796946662-noauth.jpeg,"['#444345', '#96959a', '#a9a9b0', '#b7b9c0', '#d5d7dc']"
106,my father was a rolling stone,https://s3.amazonaws.com/moonup/production/uploads/1663796952430-noauth.jpeg,"['#666566', '#161516', '#e9e9eb', '#aaabb4', '#abb4b5']"
107,I came from Planet Banana,https://s3.amazonaws.com/moonup/production/uploads/1663797040875-noauth.jpeg,"['#e1ecf1', '#242e1d', '#a5a396', '#b3ad31', '#594827']"
108, Rainforest costa rica in outlast,https://s3.amazonaws.com/moonup/production/uploads/1663797051093-noauth.jpeg,"['#95a0a8', '#7e9078', '#454d41', '#bbcdae', '#aca094']"
109,1970s city in silent hill,https://s3.amazonaws.com/moonup/production/uploads/1663797303430-noauth.jpeg,"['#8d9fa0', '#9aafaf', '#5a5e5d', '#d39a7f', '#917d74']"
110,1970s dresses,https://s3.amazonaws.com/moonup/production/uploads/1663797343089-noauth.jpeg,"['#0d5760', '#ccccc6', '#c76446', '#a62633', '#cb6e79']"
111,Girl holding a fire staff surrounded by lava and fire,https://s3.amazonaws.com/moonup/production/uploads/1663797408972-noauth.jpeg,"['#4a3a3f', '#899bb5', '#bfcbbc', '#e3532c', '#8c8486']"
112,wes anderson's dracula,https://s3.amazonaws.com/moonup/production/uploads/1663797460382-noauth.jpeg,"['#11353f', '#3e9c89', '#e2c3a7', '#b76646', '#c63d45']"
113,shades of grey,https://s3.amazonaws.com/moonup/production/uploads/1663797638326-noauth.jpeg,"['#a6a6a6', '#6f6d6e', '#98939c', '#9b9c9c', '#908f8f']"
114,italian flag,https://s3.amazonaws.com/moonup/production/uploads/1663797660239-noauth.jpeg,"['#24508f', '#628098', '#b4af9f', '#64533d', '#d00a09']"
115,portrait of a lady on fire,https://s3.amazonaws.com/moonup/production/uploads/1663797817817-noauth.jpeg,"['#c8baa7', '#afa397', '#e06e25', '#754c39', '#b07256']"
116," fire-haired Girl holding a fire ball wearing a superheroine suit, lumion render",https://s3.amazonaws.com/moonup/production/uploads/1663797935608-noauth.jpeg,"['#4b5170', '#5086e3', '#97bee9', '#e79283', '#9c5552']"
117,aqua scenery with oceanic vibes,https://s3.amazonaws.com/moonup/production/uploads/1663798844808-noauth.jpeg,"['#fc04dc', '#4c54ec', '#6078b4', '#34d4b4', '#fc447c']"
118,Warm sea on Jupiter ,https://s3.amazonaws.com/moonup/production/uploads/1663799191384-noauth.jpeg,"['#b7c7da', '#2f475c', '#83aecc', '#dcc7b6', '#997565']"
119,Wildflower meadow,https://s3.amazonaws.com/moonup/production/uploads/1663800999418-noauth.jpeg,"['#d47b9f', '#af3cba', '#b2c78a', '#2a2a11', '#78704c']"
120,Wildflower meadow on Mars,https://s3.amazonaws.com/moonup/production/uploads/1663801032842-noauth.jpeg,"['#8330cc', '#272f07', '#aab857', '#716729', '#d1935e']"
121,Miss rosy,https://s3.amazonaws.com/moonup/production/uploads/1663802394318-noauth.jpeg,"['#4b7437', '#b7ca96', '#767842', '#c16c6b', '#8e1934']"
122,Vaporwave ,https://s3.amazonaws.com/moonup/production/uploads/1663802777178-noauth.jpeg,"['#2d1277', '#6aa1d4', '#2cd089', '#41bb37', '#d7b096']"
123,I'm a bit jealous of your position,https://s3.amazonaws.com/moonup/production/uploads/1663803114448-noauth.jpeg,"['#8592ae', '#a3acb1', '#484746', '#8b7b70', '#cfbdb3']"
124,Gibberish,https://s3.amazonaws.com/moonup/production/uploads/1663803157822-noauth.jpeg,"['#615f60', '#131213', '#e4e3e5', '#80828d', '#808e8c']"
125,"sinuous tree branches and dragonflies seamless texture, art nouveau style, alphonse mucha",https://s3.amazonaws.com/moonup/production/uploads/1663803609423-noauth.jpeg,"['#2c242c', '#969c97', '#a2c563', '#696e51', '#aead6f']"
126,planet jupiter,https://s3.amazonaws.com/moonup/production/uploads/1663804383806-noauth.jpeg,"['#3f3949', '#7187be', '#9aaeda', '#d8b7a1', '#957368']"
127,a beautiful cloudy sunrise over the ocean,https://s3.amazonaws.com/moonup/production/uploads/1663806377377-noauth.jpeg,"['#886673', '#9a8db4', '#26406f', '#fbcf48', '#ec9556']"
128,a beautiful cloudy sunrise over the ocean,https://s3.amazonaws.com/moonup/production/uploads/1663806997004-noauth.jpeg,"['#7e96bf', '#ebddb7', '#d58b4c', '#524444', '#958686']"
129,Brian Ashburn at a Chinese restaurant ,https://s3.amazonaws.com/moonup/production/uploads/1663808235516-noauth.jpeg,"['#8d8fa9', '#a5a8b0', '#6b432c', '#dd9e7d', '#170b0d']"
130,Ashburn Davis at a Chinese restaurant ,https://s3.amazonaws.com/moonup/production/uploads/1663808521790-noauth.jpeg,"['#b0a6be', '#d5cfc2', '#7f4d2d', '#e5905d', '#1f0f0a']"
131,Matthew Woodward on a boat ,https://s3.amazonaws.com/moonup/production/uploads/1663808588766-noauth.jpeg,"['#a3bfc9', '#735e4b', '#352d2a', '#b41f31', '#a0666e']"
132,natalia on a ship,https://s3.amazonaws.com/moonup/production/uploads/1663808701296-noauth.jpeg,"['#c4bdaf', '#7e7262', '#8a6434', '#6c4620', '#2c1a0c']"
133, spaceship flying in space with lights,https://s3.amazonaws.com/moonup/production/uploads/1663808958505-noauth.jpeg,"['#333f5c', '#5aa0cd', '#88cfe6', '#e7c0a7', '#955e5d']"
134,a vivid cyan and pink sunset over a burning sky,https://s3.amazonaws.com/moonup/production/uploads/1663808993428-noauth.jpeg,"['#fbbf05', '#ea640e', '#0b0604', '#b9471a', '#895c60']"
135,current of brilliant water,https://s3.amazonaws.com/moonup/production/uploads/1663810076722-noauth.jpeg,"['#6fb1c2', '#d1dee0', '#7bced2', '#4b7a6c', '#27221d']"
136,Sunset,https://s3.amazonaws.com/moonup/production/uploads/1663814136791-noauth.jpeg,"['#fbd916', '#e88b48', '#846453', '#cb9c8c', '#272223']"
137,Lady with the flowers,https://s3.amazonaws.com/moonup/production/uploads/1663814203409-noauth.jpeg,"['#322228', '#305150', '#809694', '#585434', '#d3b392']"
138,Aesthetic plague doctor ,https://s3.amazonaws.com/moonup/production/uploads/1663814209447-noauth.jpeg,"['#181818', '#6e6d6e', '#8b8a8d', '#979898', '#dadbda']"
139,Younger folks,https://s3.amazonaws.com/moonup/production/uploads/1663814313490-noauth.jpeg,"['#b5adb6', '#8abea2', '#161614', '#796d67', '#dab0a7']"
140,Ukiyo-e ,https://s3.amazonaws.com/moonup/production/uploads/1663814442271-noauth.jpeg,"['#aca1ad', '#aebd90', '#6a6857', '#eac49a', '#1a1817']"
141,Pamts,https://s3.amazonaws.com/moonup/production/uploads/1663814450331-noauth.jpeg,"['#1a181a', '#717072', '#b3b3bc', '#cecfd0', '#b4bcb8']"
142,an innvative way of looking at the future,https://s3.amazonaws.com/moonup/production/uploads/1663814994584-noauth.jpeg,"['#626e88', '#30a4d0', '#7ccfd8', '#e7dbd7', '#3e282d']"
143,elektrique,https://s3.amazonaws.com/moonup/production/uploads/1663819445426-noauth.jpeg,"['#5c72ca', '#282a2f', '#9ab2b3', '#e0ceac', '#887269']"
144,Spa day in the summer island,https://s3.amazonaws.com/moonup/production/uploads/1663820264416-noauth.jpeg,"['#969eb5', '#9cc9b9', '#43472f', '#d1c4ad', '#9e7654']"
